項次,業者名稱(市招),縣市,行政區,業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註
11502,三口品企業社(環球南港-好滴咖啡南港店),臺北市,南港區,臺北市南港區忠孝東路7段371號B1,-,114/9/10,標示,合格,,,
11503,三口品企業社(環球南港-好滴咖啡南港店),臺北市,南港區,臺北市南港區忠孝東路7段371號B1,雞肉凱薩沙拉,114/9/10,食品微生物,合格,,,
11504,三口品企業社(環球南港-好滴咖啡南港店),臺北市,南港區,臺北市南港區忠孝東路7段371號B1,麵,114/9/10,防腐劑、殺菌劑、漂白劑,合格,,,
11505,三口品企業社(環球南港-好滴咖啡南港店),臺北市,南港區,臺北市南港區忠孝東路7段371號B1,蔬果汁(含冰塊),114/9/10,食品微生物,合格,,,
11506,台灣東利多股份有限公司(丸亀製麺43號店統一時代店),臺北市,信義區,臺北市信義區忠孝東路五段8號B2,-,114/9/10,GHP,合格,,,
11507,台灣東利多股份有限公司(丸亀製麺43號店統一時代店),臺北市,信義區,臺北市信義區忠孝東路五段8號B2,-,114/9/10,標示,合格,,,
11508,台灣東利多股份有限公司(丸亀製麺43號店統一時代店),臺北市,信義區,臺北市信義區忠孝東路五段8號B2,自製烏龍麵,114/9/10,防腐劑、殺菌劑、漂白劑,合格,,,
11509,樂法美食股份有限公司(樂法市府轉運站門市),臺北市,信義區,臺北市信義區忠孝東路五段6號1樓,-,114/9/10,GHP,合格,,,
11510,樂法美食股份有限公司(樂法市府轉運站門市),臺北市,信義區,臺北市信義區忠孝東路五段6號1樓,林華泰四季青茶,114/9/10,食品微生物,合格,,,
11511,樂法美食股份有限公司(樂法市府轉運站門市),臺北市,信義區,臺北市信義區忠孝東路五段6號1樓,阿薩姆熟成紅茶,114/9/10,食品微生物,合格,,,
11512,樂法美食股份有限公司(樂法市府轉運站門市),臺北市,信義區,臺北市信義區忠孝東路五段6號1樓,茉莉綠茶,114/9/10,食品微生物,合格,,,
11513,日商比亞留三一冰淇淋股份有限公司(BaskinRobbins31冰淇淋台北京站店),臺北市,大同區,臺北市大同區承德路1段1號B3樓,-,114/10/3,GHP,合格,,,
11514,日商比亞留三一冰淇淋股份有限公司(BaskinRobbins31冰淇淋台北京站店),臺北市,大同區,臺北市大同區承德路1段1號B3樓,檸檬雪酪,114/9/9,食品微生物,合格,,,
12018,惠生研生物科技股份有限公司,臺北市,南港區,臺北市南港區忠孝東路7段508號8樓,Inseed好欣情乳酸菌粉劑食品,114/8/19,標示,合格,,,
12019,惠生研生物科技股份有限公司,臺北市,南港區,臺北市南港區忠孝東路7段508號8樓,Inseed激耐益乳酸菌粉劑食品,114/8/19,標示,合格,,,
12020,惠生研生物科技股份有限公司,臺北市,南港區,臺北市南港區忠孝東路7段508號8樓,Inseed益菌寶乳酸菌粉劑食品,114/8/19,標示,合格,,,
12021,新加坡商利維喜開發股份有限公司台灣分公司,臺北市,中山區,臺北市中山區中山北路2段81號,LAC益菌群25B粉末–優格口味,114/8/18,標示,不合格,違反食安法第28條規定，依同法第45條裁處,80000,
12022,新加坡商利維喜開發股份有限公司台灣分公司,臺北市,中山區,臺北市中山區中山北路2段81號,LAC益菌群25B膠囊食品30顆,114/8/12,標示,合格,,,
12023,新加坡商利維喜開發股份有限公司台灣分公司,臺北市,中山區,臺北市中山區中山北路2段81號,LAC女用益菌群30B膠囊食品30顆,114/8/12,標示,合格,,,
12024,新加坡商利維喜開發股份有限公司台灣分公司,臺北市,中山區,臺北市中山區中山北路2段81號,LAC益菌群75B膠囊食品30顆,114/8/12,標示,合格,,,
12025,悠活原力股份有限公司,臺北市,中山區,臺北市中山區民權東路2段42號2樓,日敏立清益生菌鳳梨口味粉末食品,114/8/19,標示,合格,,,
12026,悠活原力股份有限公司,臺北市,中山區,臺北市中山區民權東路2段42號2樓,YOHO敏立清乳鐵蛋白益生菌乳酸口味,114/8/19,標示,合格,,,
12027,悠活原力股份有限公司,臺北市,中山區,臺北市中山區民權東路2段42號2樓,敏立清PLUS益生菌乳酸口味,114/8/19,標示,合格,,,
12123,新加坡商利維喜開發股份有限公司台灣分公司,臺北市,中山區,臺北市中山區中山北路2段81號,LAC益菌群25B粉末–優格口味,114/8/18,菌種鑑別、乳酸菌量,合格,,,
12124,惠生研生物科技股份有限公司,臺北市,南港區,臺北市南港區忠孝東路7段508號8樓,Inseed益菌寶乳酸菌粉劑食品,114/8/19,食品微生物、菌種鑑別,合格,,,
12125,悠活原力股份有限公司,臺北市,中山區,臺北市中山區民權東路2段42號2樓,日敏立清益生菌鳳梨口味粉末食品,114/8/19,菌種鑑別,合格,,,
12250,台灣迪卡儂有限公司內湖營業所(台灣迪卡儂有限公司台北內湖店),臺北市,內湖區,臺北市內湖區新湖路1段128巷36號1樓,水瓶,114/9/15,食品器具容器包裝衛生標準(塑膠類),合格,,,
12252,台灣大創百貨股份有限公司,臺北市,士林區,臺北市士林區忠誠路2段55號12樓,矽膠保鮮膜,114/9/17,食品器具容器包裝衛生標準(塑膠類),合格,,,
12254,遠百企業股份有限公司景美分公司(愛買景美店),臺北市,文山區,臺北市文山區景中街30巷12號1至2樓,樂扣樂扣莫蘭迪雙面PP料理砧板,114/9/15,食品器具容器包裝衛生標準(塑膠類),合格,,,
